2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 619
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 616
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 638
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 610
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 698
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 706
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 692
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 690
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 693
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 684
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 647
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 658
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 693
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 656
2017-01-31 20:25:04 INFO  ConcurrentProccessHandler:54 - Start of executorService.invokeThreads()
2017-01-31 20:25:04 INFO  ConcurrentProccessHandler:57 - Creating tasks in parallel
2017-01-31 20:25:04 INFO  ConcurrentProccessHandler:60 - Paralel execution started.
2017-01-31 20:25:05 INFO  Client:44 - Thread no:7 returned response in:896 miliseconds
2017-01-31 20:25:05 INFO  Client:44 - Thread no:9 returned response in:895 miliseconds
2017-01-31 20:25:05 INFO  Client:44 - Thread no:2 returned response in:899 miliseconds
2017-01-31 20:25:05 INFO  Client:44 - Thread no:3 returned response in:900 miliseconds
2017-01-31 20:25:05 INFO  Client:44 - Thread no:6 returned response in:901 miliseconds
2017-01-31 20:25:05 INFO  Client:44 - Thread no:4 returned response in:903 miliseconds
2017-01-31 20:25:05 INFO  Client:44 - Thread no:0 returned response in:902 miliseconds
2017-01-31 20:25:05 INFO  Client:44 - Thread no:5 returned response in:916 miliseconds
2017-01-31 20:25:05 INFO  Client:44 - Thread no:1 returned response in:917 miliseconds
2017-01-31 20:25:05 INFO  Client:44 - Thread no:8 returned response in:920 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:10 returned response in:584 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:11 returned response in:582 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:15 returned response in:617 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:16 returned response in:622 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:14 returned response in:625 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:13 returned response in:626 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:19 returned response in:610 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:12 returned response in:635 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:17 returned response in:619 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:18 returned response in:621 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:21 returned response in:649 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:20 returned response in:670 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:24 returned response in:625 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:23 returned response in:636 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:22 returned response in:640 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:26 returned response in:636 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:27 returned response in:631 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:28 returned response in:630 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:29 returned response in:633 miliseconds
2017-01-31 20:25:06 INFO  Client:44 - Thread no:25 returned response in:703 miliseconds
2017-01-31 20:25:07 INFO  Client:44 - Thread no:35 returned response in:684 miliseconds
2017-01-31 20:25:07 INFO  Client:44 - Thread no:31 returned response in:702 miliseconds
2017-01-31 20:25:07 INFO  Client:44 - Thread no:32 returned response in:710 miliseconds
2017-01-31 20:25:07 INFO  Client:44 - Thread no:30 returned response in:726 miliseconds
2017-01-31 20:25:07 INFO  Client:44 - Thread no:34 returned response in:711 miliseconds
2017-01-31 20:25:07 INFO  Client:44 - Thread no:38 returned response in:729 miliseconds
2017-01-31 20:25:07 INFO  Client:44 - Thread no:33 returned response in:745 miliseconds
2017-01-31 20:25:07 INFO  Client:44 - Thread no:37 returned response in:739 miliseconds
2017-01-31 20:25:07 INFO  Client:44 - Thread no:36 returned response in:742 miliseconds
2017-01-31 20:25:07 INFO  Client:44 - Thread no:39 returned response in:722 miliseconds
2017-01-31 20:25:08 INFO  Client:44 - Thread no:41 returned response in:664 miliseconds
2017-01-31 20:25:08 INFO  Client:44 - Thread no:40 returned response in:668 miliseconds
2017-01-31 20:25:08 INFO  Client:44 - Thread no:44 returned response in:646 miliseconds
2017-01-31 20:25:08 INFO  Client:44 - Thread no:43 returned response in:653 miliseconds
2017-01-31 20:25:08 INFO  Client:44 - Thread no:42 returned response in:663 miliseconds
2017-01-31 20:25:08 INFO  Client:44 - Thread no:45 returned response in:725 miliseconds
2017-01-31 20:25:08 INFO  Client:44 - Thread no:49 returned response in:682 miliseconds
2017-01-31 20:25:08 INFO  Client:44 - Thread no:48 returned response in:1156 miliseconds
2017-01-31 20:25:08 INFO  Client:44 - Thread no:47 returned response in:1159 miliseconds
2017-01-31 20:25:08 INFO  Client:44 - Thread no:46 returned response in:1159 miliseconds
2017-01-31 20:25:08 INFO  Client:44 - Thread no:53 returned response in:654 miliseconds
2017-01-31 20:25:08 INFO  Client:44 - Thread no:50 returned response in:661 miliseconds
2017-01-31 20:25:08 INFO  Client:44 - Thread no:54 returned response in:658 miliseconds
2017-01-31 20:25:08 INFO  Client:44 - Thread no:51 returned response in:670 miliseconds
2017-01-31 20:25:08 INFO  Client:44 - Thread no:52 returned response in:668 miliseconds
2017-01-31 20:25:08 INFO  Client:44 - Thread no:56 returned response in:633 miliseconds
2017-01-31 20:25:09 INFO  Client:44 - Thread no:55 returned response in:730 miliseconds
2017-01-31 20:25:09 INFO  Client:44 - Thread no:57 returned response in:776 miliseconds
2017-01-31 20:25:09 INFO  Client:44 - Thread no:58 returned response in:779 miliseconds
2017-01-31 20:25:09 INFO  Client:44 - Thread no:59 returned response in:780 miliseconds
2017-01-31 20:25:09 INFO  Client:44 - Thread no:63 returned response in:758 miliseconds
2017-01-31 20:25:09 INFO  Client:44 - Thread no:60 returned response in:775 miliseconds
2017-01-31 20:25:09 INFO  Client:44 - Thread no:64 returned response in:763 miliseconds
2017-01-31 20:25:09 INFO  Client:44 - Thread no:62 returned response in:775 miliseconds
2017-01-31 20:25:09 INFO  Client:44 - Thread no:65 returned response in:694 miliseconds
